2025-12-16 14:37:59,374 | ANOMALY | Size=139.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62246.0 | IAT=0.107431
2025-12-16 14:37:59,375 | ANOMALY | Size=189.0 | Proto=6.0 | SrcPort=443.0 | DstPort=61902.0 | IAT=0.450396
2025-12-16 14:37:59,376 | ANOMALY | Size=79.0 | Proto=17.0 | SrcPort=63569.0 | DstPort=53.0 | IAT=0.317971
2025-12-16 14:37:59,376 | ANOMALY | Size=221.0 | Proto=6.0 | SrcPort=443.0 | DstPort=61902.0 | IAT=0.047009
2025-12-16 14:37:59,377 | ANOMALY | Size=71.0 | Proto=17.0 | SrcPort=63888.0 | DstPort=443.0 | IAT=0.306074
2025-12-16 14:37:59,377 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62574.0 | IAT=0.077207
2025-12-16 14:37:59,377 | ANOMALY | Size=145.0 | Proto=6.0 | SrcPort=62246.0 | DstPort=443.0 | IAT=0.032090
2025-12-16 14:37:59,378 | ANOMALY | Size=221.0 | Proto=6.0 | SrcPort=443.0 | DstPort=61902.0 | IAT=0.021008
2025-12-16 14:37:59,378 | ANOMALY | Size=1084.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62580.0 | IAT=0.037993
2025-12-16 14:37:59,378 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62574.0 | IAT=0.053843
2025-12-16 14:37:59,378 | ANOMALY | Size=867.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62574.0 | IAT=0.113989
2025-12-16 14:37:59,379 | ANOMALY | Size=1494.0 | Proto=17.0 | SrcPort=443.0 | DstPort=50640.0 | IAT=0.068560
2025-12-16 14:37:59,379 | ANOMALY | Size=252.0 | Proto=6.0 | SrcPort=61902.0 | DstPort=443.0 | IAT=0.028111
2025-12-16 14:37:59,379 | ANOMALY | Size=1030.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62584.0 | IAT=0.032754
2025-12-16 14:37:59,380 | ANOMALY | Size=972.0 | Proto=6.0 | SrcPort=62574.0 | DstPort=443.0 | IAT=0.026003
2025-12-16 14:37:59,380 | ANOMALY | Size=54.0 | Proto=6.0 | SrcPort=62528.0 | DstPort=443.0 | IAT=0.062999
2025-12-16 14:37:59,380 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=56783.0 | DstPort=443.0 | IAT=0.047001
2025-12-16 14:37:59,380 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=49196.0 | DstPort=443.0 | IAT=0.078993
2025-12-16 14:37:59,380 | ANOMALY | Size=1494.0 | Proto=17.0 | SrcPort=443.0 | DstPort=50640.0 | IAT=0.167999
2025-12-16 14:37:59,381 | ANOMALY | Size=977.0 | Proto=6.0 | SrcPort=62577.0 | DstPort=443.0 | IAT=0.023001
2025-12-16 14:37:59,381 | ANOMALY | Size=1494.0 | Proto=17.0 | SrcPort=443.0 | DstPort=50640.0 | IAT=0.113000
2025-12-16 14:37:59,381 | ANOMALY | Size=79.0 | Proto=17.0 | SrcPort=59789.0 | DstPort=53.0 | IAT=0.355985
2025-12-16 14:37:59,381 | ANOMALY | Size=82.0 | Proto=17.0 | SrcPort=443.0 | DstPort=49196.0 | IAT=0.102007
2025-12-16 14:37:59,381 | ANOMALY | Size=1274.0 | Proto=17.0 | SrcPort=443.0 | DstPort=49582.0 | IAT=0.114001
2025-12-16 14:37:59,382 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=62598.0 | DstPort=443.0 | IAT=0.162000
2025-12-16 14:37:59,382 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62598.0 | IAT=0.049005
2025-12-16 14:37:59,382 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=65330.0 | DstPort=443.0 | IAT=0.027998
2025-12-16 14:37:59,382 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=53072.0 | DstPort=443.0 | IAT=0.039001
2025-12-16 14:37:59,382 | ANOMALY | Size=990.0 | Proto=17.0 | SrcPort=443.0 | DstPort=53072.0 | IAT=0.095001
2025-12-16 14:37:59,383 | ANOMALY | Size=75.0 | Proto=17.0 | SrcPort=54360.0 | DstPort=53.0 | IAT=0.128987
2025-12-16 14:37:59,383 | ANOMALY | Size=252.0 | Proto=6.0 | SrcPort=61902.0 | DstPort=443.0 | IAT=0.079000
2025-12-16 14:37:59,383 | ANOMALY | Size=791.0 | Proto=6.0 | SrcPort=62574.0 | DstPort=443.0 | IAT=0.059994
2025-12-16 14:37:59,383 | ANOMALY | Size=598.0 | Proto=17.0 | SrcPort=60498.0 | DstPort=443.0 | IAT=0.171000
2025-12-16 14:37:59,383 | ANOMALY | Size=60.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62708.0 | IAT=0.681300
2025-12-16 14:37:59,384 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62708.0 | IAT=0.104790
2025-12-16 14:37:59,384 | ANOMALY | Size=89.0 | Proto=6.0 | SrcPort=62574.0 | DstPort=443.0 | IAT=0.300294
2025-12-16 14:37:59,384 | ANOMALY | Size=60.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62574.0 | IAT=0.115000
2025-12-16 14:37:59,385 | ANOMALY | Size=86.0 | Proto=17.0 | SrcPort=57621.0 | DstPort=57621.0 | IAT=0.110006
2025-12-16 14:37:59,385 | ANOMALY | Size=308.0 | Proto=6.0 | SrcPort=62574.0 | DstPort=443.0 | IAT=0.037992
2025-12-16 14:37:59,385 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62608.0 | DstPort=443.0 | IAT=0.154991
2025-12-16 14:37:59,385 | ANOMALY | Size=220.0 | Proto=6.0 | SrcPort=443.0 | DstPort=61902.0 | IAT=0.038994
2025-12-16 14:37:59,386 | ANOMALY | Size=60.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62611.0 | IAT=0.154000
2025-12-16 14:37:59,386 | ANOMALY | Size=929.0 | Proto=6.0 | SrcPort=62608.0 | DstPort=443.0 | IAT=0.080008
2025-12-16 14:37:59,387 | ANOMALY | Size=1408.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62608.0 | IAT=0.021001
2025-12-16 14:37:59,387 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62613.0 | IAT=0.084009
