Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time
86,6,443,61954,24,0.0
54,6,61954,443,16,0.000993967056274414
60,6,443,62246,16,0.0070078372955322266
66,17,443,63888,0,0.06392693519592285
139,6,443,62246,24,0.10743117332458496
54,6,62246,443,16,0.04691028594970703
189,6,443,61902,24,0.4503960609436035
82,6,61902,443,24,0.0
174,6,61902,443,24,0.0040624141693115234
60,6,443,61902,16,0.040007829666137695
60,6,443,61902,16,0.03637862205505371
79,17,63569,53,0,0.31797099113464355
71,17,63888,443,0,0.0513606071472168
71,17,63888,443,0,0.0009980201721191406
79,17,63569,53,0,0.04728055000305176
252,6,61902,443,24,0.006013154983520508
186,17,53,63569,0,0.02108621597290039
65,17,443,63888,0,0.019333839416503906
60,6,443,61902,16,0.0042345523834228516
186,17,53,63569,0,0.019008159637451172
71,17,63888,443,0,0.06699490547180176
66,17,443,63888,0,0.10699963569641113
221,6,443,61902,24,0.04700899124145508
54,6,61902,443,16,0.044997215270996094
71,17,63888,443,0,0.3060741424560547
71,17,63888,443,0,0.0020160675048828125
66,6,62574,443,2,0.0009930133819580078
66,6,443,62574,18,0.07720685005187988
54,6,62574,443,16,0.0009958744049072266
1454,6,62574,443,16,0.0010037422180175781
415,6,62574,443,24,0.0009980201721191406
65,17,443,63888,0,0.020421743392944336
71,17,63888,443,0,0.0009996891021728516
60,6,443,62574,16,0.04825305938720703
60,6,443,62574,16,0.0009980201721191406
1454,6,443,62574,16,0.0010006427764892578
54,6,62574,443,16,0.0
1454,6,443,62574,24,0.001993417739868164
1454,6,443,62574,16,0.0010058879852294922
54,6,62574,443,16,0.0009996891021728516
252,6,61902,443,24,0.005002737045288086
1454,6,443,62574,16,0.019975900650024414
344,6,443,62574,24,0.0009989738464355469
54,6,62574,443,16,0.0019979476928710938
118,6,62574,443,24,0.001993417739868164
60,6,443,61902,16,0.020131587982177734
66,17,443,63888,0,0.004008054733276367
60,6,443,62574,16,0.03246164321899414
233,6,443,62574,24,0.0029993057250976562
116,6,443,62574,24,0.0009999275207519531
54,6,62574,443,16,0.0
145,6,62246,443,24,0.032089948654174805
84,17,60104,53,0,0.04319906234741211
60,6,443,62246,16,0.021784543991088867
100,17,53,60104,0,0.042823076248168945
1292,17,49201,443,0,0.001001119613647461
1292,17,49201,443,0,0.0020079612731933594
70,17,64469,53,0,0.0399932861328125
221,6,443,61902,24,0.021007776260375977
146,6,62574,443,24,0.0009989738464355469
1454,6,62574,443,16,0.0009980201721191406
1454,6,62574,443,16,0.00800776481628418
1454,6,62574,443,16,0.001992464065551758
213,6,62574,443,24,0.0
85,6,62574,443,24,0.003996610641479492
82,17,443,49201,0,0.0010025501251220703
1292,17,443,49201,0,0.0009980201721191406
1292,17,443,49201,0,0.0010001659393310547
1292,17,443,49201,0,0.0009996891021728516
1292,17,49201,443,0,0.002001523971557617
1292,17,443,49201,0,0.0029985904693603516
1292,17,443,49201,0,0.009999513626098633
81,17,49201,443,0,0.0030012130737304688
1292,17,443,49201,0,0.0029997825622558594
82,17,49201,443,0,0.0010020732879638672
54,6,61902,443,16,0.00499725341796875
139,6,443,62246,24,0.01799917221069336
85,6,443,62574,24,0.0010020732879638672
66,6,62576,443,2,0.0009999275207519531
60,6,443,62574,16,0.023999929428100586
70,17,64469,53,0,0.0019996166229248047
60,6,443,62574,16,0.001999378204345703
238,17,443,49201,0,0.001001596450805664
82,17,49201,443,0,0.00299835205078125
86,17,53,64469,0,0.0020003318786621094
66,6,62577,443,2,0.0
71,17,63888,443,0,0.0010001659393310547
71,17,63888,443,0,0.0009982585906982422
79,17,49201,443,0,0.0
83,17,57565,53,0,0.0010013580322265625
80,17,60191,53,0,0.006000041961669922
83,17,49702,53,0,0.0
54,6,62246,443,16,0.0010001659393310547
54,6,62574,443,16,0.0010008811950683594
66,6,443,62576,18,0.018993616104125977
54,6,62576,443,16,0.0010077953338623047
1454,6,62576,443,16,0.0019979476928710938
388,6,62576,443,24,0.00099945068359375
125,17,49201,443,0,0.0
113,17,49201,443,0,0.0009992122650146484
74,17,49201,443,0,0.007014751434326172
803,17,49201,443,0,0.0009915828704833984
60,6,443,62574,16,0.0009949207305908203
94,17,53296,53,0,0.0
66,6,443,62577,18,0.016009092330932617
96,17,53,60191,0,0.0009965896606445312
54,6,62577,443,16,0.0009944438934326172
1454,6,62577,443,16,0.0009999275207519531
438,6,62577,443,24,0.0
83,17,443,49201,0,0.00099945068359375
1292,17,49237,443,0,0.011000394821166992
1292,17,49237,443,0,0.0010018348693847656
77,17,54580,53,0,0.0009927749633789062
252,6,61902,443,24,0.0
147,17,53,57565,0,0.006005525588989258
1292,17,50640,443,0,0.0010004043579101562
1292,17,50640,443,0,0.0009999275207519531
79,17,58231,53,0,0.002000570297241211
65,17,443,63888,0,0.009000778198242188
83,17,49702,53,0,0.011020421981811523
1004,17,443,49201,0,0.02399134635925293
163,17,443,49201,0,0.0019860267639160156
69,17,443,49201,0,0.0010008811950683594
60,6,443,62576,16,0.0010006427764892578
60,6,443,62576,16,0.0
1454,6,443,62576,16,0.0009987354278564453
54,6,62576,443,16,0.0
1454,6,443,62576,24,0.0010004043579101562
1454,6,443,62576,16,0.0009987354278564453
1454,6,443,62576,24,0.0010018348693847656
428,6,443,62576,24,0.002017974853515625
350,17,53,53296,0,0.00698089599609375
86,17,53,64469,0,0.002001047134399414
54,6,62576,443,16,0.001001119613647461
128,6,62576,443,24,0.0009989738464355469
76,17,49201,443,0,0.00400853157043457
75,17,49201,443,0,0.003996849060058594
73,17,49201,443,0,0.0
1292,17,59909,443,0,0.001993894577026367
1292,17,59909,443,0,0.0020003318786621094
60,6,443,61902,16,0.0
82,17,443,49237,0,0.0010004043579101562
93,17,53,54580,0,0.0029993057250976562
1242,17,443,50640,0,0.0019998550415039062
1292,17,54348,443,0,0.0010030269622802734
1292,17,54348,443,0,0.0009970664978027344
396,17,49201,443,0,0.0019991397857666016
1292,17,443,49237,0,0.0020012855529785156
1292,17,443,49237,0,0.000993490219116211
1292,17,443,49237,0,0.0010061264038085938
1292,17,443,49237,0,0.0010004043579101562
1292,17,443,49237,0,0.0009996891021728516
1292,17,443,49237,0,0.0010025501251220703
1242,17,443,50640,0,0.0009965896606445312
1242,17,443,50640,0,0.0009999275207519531
1242,17,443,50640,0,0.0
60,6,443,62577,16,0.001001596450805664
153,6,443,62577,24,0.00099945068359375
1242,17,443,50640,0,0.0
1041,17,443,50640,0,0.0019998550415039062
611,17,443,49201,0,0.0009949207305908203
95,17,53,58231,0,0.0010058879852294922
1292,17,49237,443,0,0.0009996891021728516
81,17,49237,443,0,0.0
63,17,443,49201,0,0.0009951591491699219
1292,17,50640,443,0,0.0010039806365966797
96,17,50640,443,0,0.0009942054748535156
96,17,50640,443,0,0.001005411148071289
684,6,62577,443,24,0.0
77,17,49201,443,0,0.0010006427764892578
82,17,49237,443,0,0.0010025501251220703
127,17,50640,443,0,0.000997304916381836
128,17,50640,443,0,0.000993967056274414
1292,17,50640,443,0,0.0010051727294921875
585,17,50640,443,0,0.0
1292,17,52329,443,0,0.0009946823120117188
1292,17,52329,443,0,0.0010082721710205078
1032,6,443,62576,24,0.0009970664978027344
147,17,53,49702,0,0.0020012855529785156
1292,17,50208,443,0,0.0010006427764892578
1292,17,50208,443,0,0.0010001659393310547
82,17,443,59909,0,0.0009996891021728516
74,17,49201,443,0,0.006999015808105469
1292,17,443,59909,0,0.0009996891021728516
1292,17,443,59909,0,0.001004934310913086
1292,17,443,59909,0,0.0009894371032714844
1292,17,443,59909,0,0.0010001659393310547
1292,17,443,59909,0,0.0010058879852294922
1292,17,443,59909,0,0.0010001659393310547
1292,17,59909,443,0,0.001008749008178711
81,17,59909,443,0,0.002020597457885742
82,17,59909,443,0,0.0009784698486328125
1454,6,443,62574,16,0.004992246627807617
363,6,443,62574,24,0.0010001659393310547
85,6,443,62574,24,0.0
54,6,62574,443,16,0.0009961128234863281
54,6,62576,443,16,0.0
79,17,49237,443,0,0.002004384994506836
1454,6,62574,443,16,0.008000850677490234
1454,6,62574,443,16,0.0009982585906982422
1454,6,62574,443,16,0.000993967056274414
293,6,62574,443,24,0.0
216,17,443,49237,0,0.011006593704223633
69,17,443,49201,0,0.0010006427764892578
131,17,49237,443,0,0.0029993057250976562
112,17,49237,443,0,0.0009999275207519531
1494,17,443,50640,0,0.0009989738464355469
106,17,443,50640,0,0.0010056495666503906
85,17,443,50640,0,0.0009949207305908203
1454,6,443,62577,16,0.0010004043579101562
89,17,50640,443,0,0.001001596450805664
