Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time,Anomaly
139,6,443,62246,24,0.10743117332458496,-1
189,6,443,61902,24,0.4503960609436035,-1
79,17,63569,53,0,0.31797099113464355,-1
221,6,443,61902,24,0.04700899124145508,-1
71,17,63888,443,0,0.3060741424560547,-1
66,6,443,62574,18,0.07720685005187988,-1
145,6,62246,443,24,0.032089948654174805,-1
221,6,443,61902,24,0.021007776260375977,-1
1084,6,443,62580,24,0.03799295425415039,-1
1454,6,443,62574,16,0.05384325981140137,-1
867,6,443,62574,24,0.11398911476135254,-1
1494,17,443,50640,0,0.06856036186218262,-1
252,6,61902,443,24,0.02811145782470703,-1
1030,6,443,62584,24,0.03275442123413086,-1
972,6,62574,443,24,0.02600264549255371,-1
54,6,62528,443,17,0.06299853324890137,-1
1292,17,56783,443,0,0.04700064659118652,-1
1292,17,49196,443,0,0.07899308204650879,-1
1494,17,443,50640,0,0.1679990291595459,-1
977,6,62577,443,24,0.02300095558166504,-1
1494,17,443,50640,0,0.11299991607666016,-1
79,17,59789,53,0,0.355985164642334,-1
82,17,443,49196,0,0.10200691223144531,-1
1274,17,443,49582,0,0.11400079727172852,-1
1454,6,62598,443,16,0.16199970245361328,-1
1454,6,443,62598,16,0.04900479316711426,-1
1292,17,65330,443,0,0.02799844741821289,-1
1292,17,53072,443,0,0.0390012264251709,-1
990,17,443,53072,0,0.0950009822845459,-1
75,17,54360,53,0,0.12898659706115723,-1
252,6,61902,443,24,0.07899951934814453,-1
791,6,62574,443,24,0.05999445915222168,-1
598,17,60498,443,0,0.17100048065185547,-1
60,6,443,62708,16,0.6813004016876221,-1
66,6,443,62708,16,0.10479021072387695,-1
89,6,62574,443,24,0.3002936840057373,-1
60,6,443,62574,16,0.11500000953674316,-1
86,17,57621,57621,0,0.11000633239746094,-1
308,6,62574,443,24,0.03799247741699219,-1
66,6,62608,443,2,0.15499114990234375,-1
220,6,443,61902,24,0.03899359703063965,-1
60,6,443,62611,16,0.15399980545043945,-1
929,6,62608,443,24,0.08000826835632324,-1
1408,6,443,62608,24,0.02100086212158203,-1
1454,6,443,62613,16,0.08400893211364746,-1
66,6,62614,443,2,0.06799960136413574,-1
1454,6,62614,443,16,0.09200692176818848,-1
892,17,443,50011,0,0.1699991226196289,-1
1494,17,443,52982,0,0.2920057773590088,-1
1292,17,54486,443,0,0.6597323417663574,-1
139,6,443,62246,24,0.029999494552612305,-1
363,17,443,52982,0,0.07099556922912598,-1
1494,17,443,52982,0,0.10401678085327148,-1
1288,17,63071,443,0,0.06899571418762207,-1
1454,6,443,62620,16,0.12099361419677734,-1
54,6,62618,443,17,0.22700023651123047,-1
78,6,443,62619,24,0.2070002555847168,-1
74,17,53381,53,0,0.44501352310180664,-1
90,17,53,53381,0,0.06498551368713379,-1
1288,17,49582,443,0,0.08700346946716309,-1
1274,17,443,49582,0,0.08299660682678223,-1
233,17,61069,443,0,0.43700504302978516,-1
87,17,60022,53,0,0.063995361328125,-1
146,6,62620,443,24,0.14299321174621582,-1
581,6,443,62620,24,0.3419961929321289,-1
143,6,62626,443,24,0.16599798202514648,-1
71,17,61002,443,0,0.34099769592285156,-1
1292,17,61002,443,0,0.14349985122680664,-1
54,6,62620,443,16,0.17299437522888184,-1
496,17,64663,443,0,0.258986234664917,-1
66,6,62632,443,2,0.09000062942504883,-1
66,6,443,62632,18,0.07299971580505371,-1
66,6,62633,443,2,0.053000688552856445,-1
1454,6,62632,443,16,0.021977901458740234,-1
1454,6,62633,443,16,0.03299117088317871,-1
66,6,62635,443,2,0.20399236679077148,-1
66,6,443,62635,18,0.07399964332580566,-1
90,6,61954,443,24,0.03800010681152344,-1
425,6,443,62635,24,0.03699302673339844,-1
425,6,443,62635,24,0.0540156364440918,-1
309,17,61002,443,0,0.07297682762145996,-1
189,6,443,61902,24,0.04399991035461426,-1
1292,17,49582,443,0,0.19199609756469727,-1
167,17,60683,1900,0,0.12399959564208984,-1
1274,17,443,49582,0,0.17099952697753906,-1
1070,6,443,62629,24,0.04399371147155762,-1
54,6,62642,443,16,0.07899975776672363,-1
1034,17,61002,443,0,0.06399178504943848,-1
509,6,443,62438,24,0.21499300003051758,-1
402,17,443,53413,0,0.2010054588317871,-1
328,17,61002,443,0,0.15500760078430176,-1
1292,17,62099,443,0,0.38199901580810547,-1
985,17,443,55634,0,0.08199620246887207,-1
1288,17,59698,443,0,0.052010297775268555,-1
97,6,58318,443,24,0.030015945434570312,-1
1086,6,443,62654,24,0.030983924865722656,-1
1027,6,443,62652,24,0.12099909782409668,-1
1514,17,443,51763,0,0.0970008373260498,-1
841,6,443,62655,24,0.031004667282104492,-1
1514,17,443,51763,0,0.06800127029418945,-1
1514,17,443,51763,0,0.30000901222229004,-1
66,6,443,62659,18,0.08100700378417969,-1
1292,17,51763,443,0,0.14800167083740234,-1
54,6,62653,443,17,0.1300046443939209,-1
857,17,64771,443,0,0.03800392150878906,-1
139,17,53,57870,0,0.06099963188171387,-1
82,17,443,62843,0,0.1510002613067627,-1
487,17,55574,443,0,0.12399840354919434,-1
1292,17,52982,443,0,0.07199454307556152,-1
884,17,443,65387,0,0.07699036598205566,-1
527,17,58633,443,0,0.07999491691589355,-1
1292,17,51763,443,0,0.04500007629394531,-1
1292,17,52982,443,0,0.4239974021911621,-1
938,17,64771,443,0,0.05500340461730957,-1
122,17,443,64771,0,0.10100102424621582,-1
71,17,61002,443,0,0.5480036735534668,-1
66,6,62664,443,2,0.661003589630127,-1
1292,17,52982,443,0,0.06000328063964844,-1
647,17,443,52982,0,0.12599921226501465,-1
118,6,62667,443,24,0.06300210952758789,-1
146,6,62667,443,24,0.05199241638183594,-1
881,17,63802,443,0,0.08298826217651367,-1
752,17,55210,443,0,0.03800177574157715,-1
1008,17,63802,443,0,0.18900561332702637,-1
140,6,62664,443,24,0.1770014762878418,-1
1129,17,64201,443,0,0.037000179290771484,-1
66,17,443,53413,0,0.14500045776367188,-1
86,17,49763,53,0,0.12000346183776855,-1
1038,6,443,62683,24,0.031000137329101562,-1
311,17,49582,443,0,0.051001787185668945,-1
358,17,443,51763,0,0.10599446296691895,-1
66,6,62686,443,2,0.06500029563903809,-1
509,17,54014,443,0,0.06300115585327148,-1
90,6,61954,443,24,0.2820091247558594,-1
86,6,443,61954,24,0.0849909782409668,-1
